Interview Format,Rounds,Duration (mins),Difficulty Level,Money Requested,Paid Course,Genuineness (%)
Video Call,3,66,Low,Yes,No,53
Phone Call,4,70,High,No,No,88
Phone Call,4,13,Low,Yes,Yes,28
In-Person,1,52,Medium,No,Yes,77
Online Assessment,1,53,Low,Yes,Yes,47
In-Person,4,55,High,No,Yes,72
Online Assessment,2,47,Medium,No,Yes,71
Video Call,1,16,Low,No,Yes,63
In-Person,4,86,Low,Yes,Yes,35
In-Person,4,51,Medium,Yes,Yes,42
Video Call,5,17,Low,No,No,58
Video Call,2,38,Medium,No,Yes,70
Video Call,1,10,Medium,No,Yes,72
Online Assessment,4,55,Low,No,Yes,52
Video Call,1,62,High,Yes,No,83
Phone Call,1,71,Medium,Yes,No,74
Online Assessment,5,35,Medium,Yes,No,50
In-Person,5,66,Low,Yes,No,43
In-Person,4,84,High,Yes,No,70
In-Person,2,79,Low,No,No,79
In-Person,2,51,Medium,No,Yes,72
Video Call,1,55,Low,Yes,No,62
Video Call,1,80,Medium,Yes,No,74
Video Call,3,90,Low,Yes,No,55
Online Assessment,2,56,Medium,No,Yes,72
In-Person,4,67,Low,Yes,Yes,33
Video Call,4,37,High,No,Yes,70
Online Assessment,3,63,High,Yes,Yes,58
Phone Call,4,89,Medium,No,No,80
In-Person,5,22,Medium,Yes,Yes,34
Video Call,3,19,High,Yes,No,68
Phone Call,4,76,Medium,Yes,Yes,44
Phone Call,1,53,Medium,Yes,Yes,57
In-Person,3,57,Low,Yes,No,52
In-Person,1,23,Medium,Yes,Yes,54
Video Call,3,10,Medium,Yes,No,57
Online Assessment,1,25,High,Yes,No,79
Online Assessment,1,71,High,Yes,No,84
Phone Call,4,41,Medium,No,No,76
Phone Call,5,53,Low,No,No,62
In-Person,3,56,Medium,Yes,Yes,47
In-Person,5,31,Medium,No,Yes,55
Online Assessment,5,75,Low,Yes,Yes,29
Phone Call,2,65,Medium,Yes,Yes,53
Video Call,3,33,Low,Yes,Yes,35
Online Assessment,1,87,Medium,No,No,95
Phone Call,2,64,High,Yes,No,78
Phone Call,1,69,Low,Yes,Yes,48
In-Person,1,73,High,No,No,100
Video Call,5,66,High,Yes,No,63
Phone Call,3,38,Medium,No,Yes,65
Video Call,1,66,Low,Yes,Yes,48
Video Call,2,35,High,Yes,Yes,60
In-Person,1,38,Medium,No,Yes,75
Online Assessment,2,49,High,Yes,No,76
Online Assessment,4,10,Medium,No,Yes,57
